,Type,N_peaks,Media_proem,Area,Width_peaks,Width_peaks_max,Width_peaks_min,Median,Mode,Mean,Sd
82,3,1,359.86806,5561.30324,159.38646,614.48264,3.40720,154.58333,51.32639,336.18832,364.28911
83,3,2,11.35648,1898.91204,21.68206,92.42014,0.67253,84.77083,25.01389,136.68382,165.01934
84,3,2,99.15394,4527.19907,121.42998,577.18403,0.50617,156.35417,54.88889,275.70343,204.88378
85,3,1,152.96991,6701.06250,191.23243,734.61458,2.93407,403.11111,68.51389,434.47018,294.60026
86,3,1,154.95602,4571.48380,90.28035,336.37153,5.69271,237.97917,44.30556,274.54902,169.40946
87,3,2,125.16898,5046.87037,69.06753,405.30556,1.90432,191.65278,60.88194,303.83905,226.95355
88,3,2,667.47106,39584.27083,841.67590,4437.60069,0.50000,2567.40972,566.01389,2472.45711,1401.76408
89,3,2,62.75810,4108.98380,138.89425,630.05556,0.81348,81.92361,20.46528,276.51471,258.38149
110,3,1,15.58333,1088.25926,22.23695,61.54167,1.90992,48.66667,9.89583,77.66054,89.50238
111,3,2,21.63773,1439.58565,25.82978,106.25000,0.71619,61.67361,17.35417,93.83946,75.07390
112,3,2,425.52431,15020.09722,362.18973,1707.72917,1.41236,432.02083,149.49306,922.02696,742.50566
113,3,2,271.74421,9848.79630,219.81566,949.11111,1.50015,577.04167,15.97917,585.90768,511.17656
114,3,2,144.00694,4766.20370,79.22447,364.95139,2.58029,223.15972,38.77083,286.12827,192.24522
115,3,1,687.15741,9195.32407,301.08013,1181.34722,3.63266,249.66667,25.51389,566.87908,662.39085
116,3,2,616.33681,16138.97685,277.20569,1939.84375,0.78860,350.04861,61.74306,944.55188,1166.18048
