,Type,ASM,constrast,correl,variance,inv diff mom,sum aveg,sum var,sum entropy,entropy,dif var,dif entropy,IMC1,IMC2,colors
30,3,0.06117,15.18668,0.46502,15.40312,0.29241,272.50041,46.42580,3.04095,4.12314,0.00173,2.18605,-0.62622,0.98461,0.52000
31,3,0.05327,203.77288,0.34523,170.79433,0.13673,362.76797,479.40446,3.17848,4.27848,0.00073,2.86950,-0.74243,0.99605,0.50250
32,3,0.06305,28.13766,0.23133,20.13744,0.23167,286.21119,52.41212,2.95817,4.11607,0.00146,2.38136,-0.65086,0.98215,0.50000
33,3,0.05131,566.87908,0.32471,415.61819,0.09959,267.79820,1095.59368,3.26519,4.32352,0.00083,3.01971,-0.77947,0.99757,0.43250
34,3,0.05725,336.67688,0.35119,324.87760,0.18728,358.91708,962.83350,3.15844,4.20648,0.00081,2.82678,-0.68421,0.98947,0.33750
35,3,0.06022,26.39828,0.37166,21.55642,0.22054,221.13848,59.82740,3.06261,4.14591,0.00156,2.53958,-0.64322,0.98891,0.52500
36,3,0.05200,208.79371,0.42176,189.78376,0.12972,355.61969,550.34133,3.25876,4.30473,0.00074,2.90754,-0.76913,0.99710,0.47500
37,3,0.05257,204.65441,0.24650,153.94734,0.13801,342.33252,411.13494,3.20279,4.29329,0.00081,2.82019,-0.72385,0.99420,0.55750
38,3,0.05280,270.50490,0.40747,272.59793,0.11197,438.43464,819.88680,3.20401,4.29820,0.00062,2.85618,-0.77360,0.99607,0.45000
39,3,0.06562,22.87377,0.36747,21.67188,0.30071,321.91136,63.81374,2.95789,4.03611,0.00144,2.22434,-0.61852,0.98142,0.48000
40,3,0.05487,235.87908,0.23205,191.71990,0.17454,251.48039,531.00050,3.12923,4.24754,0.00117,2.72310,-0.67201,0.99111,0.61750
41,3,0.05609,375.39093,0.38099,347.89387,0.12623,364.89828,1016.18454,3.16385,4.22783,0.00085,2.71821,-0.71935,0.99358,0.48250
42,3,0.05385,133.22141,0.42219,120.49432,0.10503,266.81536,348.75588,3.21205,4.27654,0.00120,2.71535,-0.74504,0.99560,0.46750
43,3,0.05567,706.78799,0.21569,454.57591,0.15217,370.79534,1111.51565,3.06943,4.23896,0.00076,2.82497,-0.71946,0.99165,0.49500
44,3,0.05591,169.22508,0.25167,124.92684,0.15987,309.93832,330.48226,3.16325,4.21976,0.00089,2.84255,-0.70311,0.99340,0.59750
45,3,0.05543,749.58619,0.36565,523.92218,0.14969,261.57884,1346.10252,3.22300,4.25029,0.00094,2.88595,-0.73998,0.99483,0.54250
46,3,0.05442,132.85498,0.43891,141.48779,0.16181,291.20302,433.09619,3.19310,4.25326,0.00112,2.63244,-0.71978,0.99374,0.48750
47,3,0.05701,107.55270,0.20157,75.55085,0.20725,287.55433,194.65070,2.97278,4.20544,0.00122,2.56478,-0.65703,0.98434,0.53000
48,3,0.05603,132.08701,0.27740,104.30223,0.15073,319.34763,285.12192,3.17327,4.23006,0.00098,2.71341,-0.72860,0.99534,0.39000
